the_geom,SEGMENTID,COMPLEXID,SAFTYPE,SOS,PLACEID,FACI_DOM,BIN,BOROUGH,CREATED,MODIFIED,FACILITY_T,SOURCE,B7SC,PRI_ADD,NAME
POINT (-73.93014579532112 40.60416496571813),286388,5230,,2.0,1002465,1,0,3.0,09/02/2010 12:00:00 AM,03/15/2022 12:00:00 AM,4,OTHER,,5137769,MARINE PARK INLET
POINT (-73.90929078270194 40.67834915782928),43921,0,,1.0,1027970,1,3042035,3.0,06/22/2016 12:00:00 AM,06/22/2016 12:00:00 AM,9,OTHER,,3052149,BLESSED ASSURANCE CHURCH OF GOD
POINT (-73.9900650040638 40.728955845022305),324089,0,,1.0,3507,1,1006656,1.0,05/14/2009 12:00:00 AM,01/19/2021 12:00:00 AM,9,NYPD,,1008494,FIRST UKRAINIAN ASSEMBLY OF GOD CHURCH
POINT (-73.82723735635648 40.770241881901406),92213,4879,G,2.0,1036025,9,0,4.0,09/11/2020 12:00:00 AM,02/22/2021 12:00:00 AM,4,OTHER,41457501.0,0,COLDEN PLAYGROUND
POINT (-73.88586892317831 40.847140916347655),330248,0,N,2.0,1411,8,0,2.0,05/14/2009 12:00:00 AM,03/26/2021 12:00:00 AM,4,DPR,21330501.0,0,MAPES BALLFIELD
POINT (-73.93783986386318 40.744737514485514),67209,416,X,2.0,6284,7,4003516,4.0,05/14/2009 12:00:00 AM,06/06/2017 12:00:00 AM,2,DCP,49353705.0,4426,LAGUARDIA CC C BUILDING
POINT (-73.97290962214316 40.73784817010248),194622,0,,2.0,1026288,16,1083709,1.0,05/28/2015 12:00:00 AM,05/28/2015 12:00:00 AM,2,OTHER,,1022980,THE BRITISH INTERNATIONAL SCHOOL OF NY
POINT (-73.93645745869237 40.69335528745421),43394,299,,2.0,4770,2,3324973,3.0,05/14/2009 12:00:00 AM,11/09/2012 12:00:00 AM,5,DoITT,,3053743,BEDFORD STUYVESANT HEAD START #8
POINT (-74.08125186585441 40.62339751390736),9005456,323,X,1.0,6586,3,5108859,5.0,05/14/2009 12:00:00 AM,12/12/2012 12:00:00 AM,1,DCP,54975503.0,5140718,STAPLETON HOUSES BLDG 2
POINT (-73.86197775450879 40.750916672360745),83406,0,,,5624,2,4044596,4.0,05/14/2009 12:00:00 AM,04/17/2013 12:00:00 AM,3,DoITT,,50074,CORONA LIBRARY
POINT (-73.9416307264797 40.80244529665598),159172,0,N,1.0,769,9,0,1.0,05/14/2009 12:00:00 AM,05/05/2020 12:00:00 AM,4,DoITT,11240501.0,0,EUGENE MCCABE FIELD
